Site,Model Grade,Cost,qty
HK Bulk Buy,Galaxy S23 Plus 512GB-C,209.40,1
AU Bulk Buy,Galaxy S24 Ultra 1TB-C,503.91,24
AU Bulk Buy,Galaxy S24 Ultra 256GB-C,479.32,148
AU Bulk Buy,Galaxy S24 Ultra 512GB-C,503.91,61
AU Bulk Buy,Galaxy S24+ 256GB-C,297.93,57
AU Bulk Buy,Galaxy S24+ 512GB-C,322.53,12
AU Bulk Buy,Galaxy S25 Ultra 1TB-C,617.29,2
AU Bulk Buy,Galaxy S25 Ultra 256GB-C,580.40,71
HK Bulk Buy,Galaxy S25 Ultra 256GB-Z,600.13,1
AU Bulk Buy,Galaxy S25 Ultra 512GB-C,617.29,34
AU Bulk Buy,Galaxy S25+ 256GB-C,439.59,14
AU Bulk Buy,Galaxy Z Flip6 256GB-C,182.96,1
AU Bulk Buy,Galaxy Z Flip7 256GB-C,336.67,4
AU Bulk Buy,Galaxy Z Fold6 256GB-C,455.95,13
AU Bulk Buy,Galaxy Z Fold6 512GB-C,468.25,6
HK Bulk Buy,iPhone 8 64GB-A,50.20,1
HK Bulk Buy,iPhone 8 Plus 64GB-B,48.11,1
Apple POS AUS,iPhone 8 Plus 64GB-W,185.27,5
RMA Site,iPhone 8 Plus 64GB-W,197.76,1
Apple BFI AUS,iPhone 8 Plus 256GB-W,211.89,1
Apple POS AUS,iPhone 8 Plus 256GB-W,212.48,6
HK Bulk Buy,iPhone 11 Pro 64GB-B,138.89,5
HK Bulk Buy,iPhone 12 Pro Max 256GB-B,252.30,1
HK Bulk Buy,iPhone 14 128GB-A,251.00,6
HK Bulk Buy,iPhone 14 128GB-W,251.00,1394
HK Bulk Buy,iPhone 15 128GB-W,375.00,1009
AU Bulk Buy,iPhone 15 Plus 128GB-B,372.63,1
HK Bulk Buy,iPhone 15 Pro 128GB-B,449.70,1
AU Bulk Buy,iPhone 15 Pro 256GB-B,490.78,1
HK Bulk Buy,iPhone 15 Pro Max 1TB-B,600.10,1
AU Bulk Buy,iPhone 15 Pro Max 256GB-B,593.66,2
HK Bulk Buy,iPhone 15 Pro Max 256GB-B,562.50,3
AU Bulk Buy,iPhone 16 Plus 128GB-B,495.21,5
AU Bulk Buy,iPhone 16 Plus 256GB-A,518.15,1
AU Bulk Buy,iPhone 16 Plus 256GB-B,518.15,1
HK Bulk Buy,iPhone 16 Pro 256GB-B,600.10,1
HK Bulk Buy,iPhone Air 256GB-A,631.71,1
HK Bulk Buy,iPhone Air 256GB-B,612.43,5
HK Bulk Buy,iPhone SE 2nd Gen 64GB-B,55.75,1
RMA Site,iPhone SE 2nd Gen 64GB-D,58.84,43
RMA Site,iPhone SE 2nd Gen 64GB-Dx,58.84,16
HK Bulk Buy,iPhone SE 3rd Gen 64GB-D,111.00,11
HK Bulk Buy,iPhone SE 3rd Gen 64GB-Dx,111.00,10
HK Bulk Buy,iPhone XS Max 256GB-B,111.30,1